name_prefex;first_name;middle_name;last_name;gender;country;password;city;state;lcc;email;telephone;nrna_id;additional_address
;Mt.;Everest ;Sagarmatha;Male;germany;12345678;Munster;Nordrhein-Westfalen;NRW;test1@test1.de;1231;Nepal_01;Von der tinnen str 32
;Mt.;;Kanchenjunga;Male;germany;12345678;Frankfurt;Hessen;Hessen;test2@test2.de;1232;Nepal_02;
;;;Machhapuchhre ;Male;germany;12345678;Munich;Bayern;Bayern;test3@test3.de;1233;Nepal_03;
;Api;;Mountain;Male;germany;12345678;Munich;Bayern;Bayern;test4@test4.de;1234;Nepal_04;
;Mt.;;Kailash;Male;germany;12345678;Frankfurt;Hessen;Hessen;test5@test5.de;1235;Nepal_05;
;Kathmandu;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test1@test.de;1236;Nepal_06;
;Pokhara;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test2@test.de;1237;Nepal_07;
;Humla;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test3@test.de;1238;Nepal_08;
;Janakpur;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test4@test.de;1239;Nepal_09;
;Palpa;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test5@test.de;1240;Nepal_10;
;Dhanran;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test6@test.de;1241;Nepal_11;
;Dadeldhura;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test7@test.de;1242;Nepal_12;
;Bhaktapur;;City;Male;germany;12345678;Frankfurt;Hessen;Hessen;test8@test.de;1243;Nepal_13;
;Fewa;;Lake;Female;germany;12345678;Frankfurt;Hessen;Hessen;test9@test.de;1244;Nepal_14;
;Rara;;Lake;Female;germany;12345678;Frankfurt;Hessen;Hessen;test10@test.de;1245;Nepal_15;
;Phoksundo;;Lake;Female;germany;12345678;Frankfurt;Hessen;Hessen;test11@test.de;1246;Nepal_16;
;Tilicho ;;Lake;Female;germany;12345678;Frankfurt;Hessen;Hessen;test12@test.de;1247;Nepal_17;
;Chitwan ;;National Park;Female;germany;12345678;Frankfurt;Hessen;Hessen;test13@test.de;1248;Nepal_18;
;Khaptad ;;National Park;Female;germany;12345678;Frankfurt;Hessen;Hessen;test14@test.de;1249;Nepal_19;
;Baridya ;;National Park;Female;germany;12345678;Frankfurt;Hessen;Hessen;test15@test.de;1250;Nepal_20;
;Shivapur Nagarjun;;National Park;Female;germany;12345678;Frankfurt;Hessen;Hessen;test16@test.de;1251;Nepal_21;
;Chandragiri;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test17@test.de;1252;Nepal_22;
;Sarankot;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test18@test.de;1253;Nepal_23;
;Pun;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test19@test.de;1254;Nepal_24;
;Bandipur;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test20@test.de;1255;Nepal_25;
;Ilam;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test21@test.de;1256;Nepal_26;
;Chitlang.;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test22@test.de;1257;Nepal_27;
;Nagarkot;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test23@test.de;1258;Nepal_28;
;Dhulikhel;;Hill;Male;germany;12345678;Frankfurt;Hessen;Hessen;test24@test.de;1259;Nepal_29;
;Kali Gandagi;;River;Female;germany;12345678;Frankfurt;Hessen;Hessen;test25@test.de;1260;Nepal_30;
;saptakoshi;;River;Female;germany;12345678;Frankfurt;Hessen;Hessen;test26@test.de;1261;Nepal_31;
;Karnali;;River;Female;germany;12345678;Frankfurt;Hessen;Hessen;test27@test.de;1262;Nepal_32;
;Mahakali;;River;Female;germany;12345678;Frankfurt;Hessen;Hessen;test28@test.de;1263;Nepal_33;
;Biratnagar;;City;Male;Germany;12345678;Frankfurt;Hessen;Hessen;test29@test.de;1264;Nepal_34;
;Bhairawa;;City;Female;germany;12345678;Frankfurt;Hessen;Hessen;test30@test.de;1265;Nepal_35;
;Mustang ;;City;Female;germany;12345678;Frankfurt;Hessen;Hessen;test31@test.de;1266;Nepal_36;
;Manag;;City;Male;Germany;12345678;Frankfurt;Hessen;Hessen;test32@test.de;1267;Nepal_37;
;Dhangadi;;City;Female;germany;12345678;Frankfurt;Hessen;Hessen;test33@test.de;1268;Nepal_38;
